n	NormalTranspose	SpeedupNormal	Optimized	SpeedupOptimized	OddEven	Speedup OddEven	2 Threads	Speedup 2Thre	4 Threads	Speedup 4Thre
16x16	1	1	1	1	20	0.05	20	0.05	39	0.03
32x32	3	1	2	1.5	22	0.14	21	0.15	39	0.08
64x64	13	1	10	1.3	41	0.32	30	0.44	52	0.25
128x128	50	1	43	1.17	92	0.55	71	0.71	95	0.53
256x256	203	1	204	1	307	0.67	216	0.94	221	0.92
512x512	1246	1	829	1.51	1146	1.09	651	1.92	656	1.9
1024x1024	8302	1	5655	1.47	8055	1.04	3351	2.48	2288	3.63
2048x2048	37273	1	21912	1.71	38160	0.98	17057	2.19	11624	3.21
4096x4096	202945	1	96532	2.11	168238	1.21	73398	2.77	46458	4.37
